id_pdc_local;statut_pdc;arrondissement;id_station_local;id_station_itinerance;nom_station;implantation_station;nbre_pdc;date_maj;condition_acces;adresse_station;coordonneesXY;gratuit;paiement_acte;paiement_cb;paiement_autre;reservation;observations;num_pdl;siren_amenageur;contact_amenageur;nom_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;tarification;id_pdc_itinerance;date_mise_en_service;accessibilite_pmr;restriction_gabarit;station_deux_roues;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;prise_type_3;horaires;raccordement
FR*V75*EHBSAI*AUG*01*2;En service;08e Arrondissement;FR*V75*PHBSAI*AUG;FRV75PHBSAIAUG;Paris | SAEMES Parking Saint-Augustin;;15;2024-11-08;Accès libre;18 rue Laborde 75008 PARIS;48.87577, 2.320347;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;50023671243631  (sous comptage);531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EHBSAIAUG012;2023-12-11T11:55:39+01:00;Accessible mais non réservé PMR;Véhicule electrique, hauteur 1.90 m;False;50;False;False;True;False;False;False;24/7;
FR*V75*EHBSAG*LOB*03*2;En service;Paris centre;FR*V75*PHBSAG*LOB;FRV75PHBSAGLOB;Paris | SAGS Parking Lobau;;21;2024-11-08;Accès libre;4 Rue de Lobau 75004 Paris;48.856796, 2.3538697;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;50042199442811;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EHBSAGLOB032;2022-05-17T09:00:49+02:00;Non accessible;Hauteur maximale 1.90m;False;50;False;False;True;False;False;False;24/7;
FR*V75*EHBSAG*LOB*01*2;En service;Paris centre;FR*V75*PHBSAG*LOB;FRV75PHBSAGLOB;Paris | SAGS Parking Lobau;;21;2024-11-08;Accès libre;4 Rue de Lobau 75004 Paris;48.856796, 2.3538697;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;50042199442811;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EHBSAGLOB012;2022-05-17T08:58:06+02:00;Non accessible;Hauteur maximale 1.90m;False;50;False;False;True;False;False;False;24/7;
FR*V75*EPX13*21*2;En service;13e Arrondissement;FR*V75*PPX13*21;FRV75PPX1321;Paris | Avenue D'Ivry 58;;5;2024-11-08;Accès libre;58 Avenue D'Ivry 75013 Paris;48.824066, 2.364308;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7372648242370;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX13212;2022-01-13T17:46:14+01:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;
FR*V75*EPX10*13*2;En service;10e Arrondissement;FR*V75*PPX10*13;FRV75PPX1013;Paris | Rue du Faubourg Poissonnière 64;;4;2024-11-08;Accès libre;64 Rue du Faubourg Poissonnière 75010 Paris;48.87517, 2.348162;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7136902963076;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX10132;2021-11-23T17:20:28+01:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;
FR*V75*EPX20*19*6;En service;20e Arrondissement;FR*V75*PPX20*19;FRV75PPX2019;Paris | Rue des Pyrénées 137;;6;2024-11-08;Accès libre;137 Rue des Pyrénées 75020 Paris;48.85844, 2.402911;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7269319719251;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX20196;2021-11-03T10:13:07+01:00;Réservé PMR;aucune restriction;False;7;True;True;False;False;False;False;24/7;
FR*V75*EPX18*15*2;En service;18e Arrondissement;FR*V75*PPX18*15;FRV75PPX1815;Paris | Rue Marcadet 220;;7;2024-11-08;Accès libre;220 Rue Marcadet 75018 Paris;48.892082, 2.3331354;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7532271971233;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX18152;2021-10-26T15:59:02+02:00;Non accessible;aucune restriction;False;3;True;True;False;False;False;False;24/7;
FR*V75*EPX17*20*3;En service;17e Arrondissement;FR*V75*PPX17*20;FRV75PPX1720;Paris | Avenue Carnot 28;;6;2024-11-08;Accès libre;28 Avenue Carnot 75017 Paris;48.87683, 2.2928;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7449059232690;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17203;2021-11-23T17:31:21+01:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;
FR*V75*EPX17*22*5;En service;17e Arrondissement;FR*V75*PPX17*22;FRV75PPX1722;Paris | Avenue de Niel 28;;5;2024-11-08;Accès libre;28 Avenue de Niel 75017 Paris;48.88103, 2.2956283;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7575687312194;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17225;2021-11-23T17:28:23+01:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;
FR*V75*EPX17*22*1;En service;17e Arrondissement;FR*V75*PPX17*22;FRV75PPX1722;Paris | Avenue de Niel 28;;5;2024-11-08;Accès libre;28 Avenue de Niel 75017 Paris;48.88103, 2.2956283;false;true;true;true;false;Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib,Plus d'information - https://belib.paris.fr;7575687312194;531680445;assistance.technique@tevgo.fr;TOTALENERGIES;TOTALENERGIES;assistance.technique@tevgo.fr;01 85 16 94 02;Belib';https://belib.paris;FRV75EPX17221;2021-11-23T17:27:31+01:00;Non accessible;aucune restriction;False;7;True;True;False;False;False;False;24/7;
